image_id,source,quality_label,quality_label_es,fruit_type,product_type,size_label_manual,relative_path,file_name,width,height,aspect_ratio,is_square,requires_crop,mode,file_size_kb,blur_score,brightness_mean,brightness_std,skin_tone_ratio,border_std,foreground_ratio_border,image_hash,exists,valid_image,validated_width,validated_height,image_mode,validation_error,object_area_ratio,bbox_width_ratio,bbox_height_ratio,bbox_area_ratio,diameter_px_normalized_base,normalized_diameter,estimated_diameter_px_original,estimated_distance_cm,estimated_diameter_cm,skin_noise_ratio,fruit_color_ratio,segmentation_confidence,blur_score,touches_border,needs_review,review_reason
img_22ec7faa3093,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0146.jpg,IMG-20260603-WA0146.jpg,3024,4032,0.75,False,True,RGB,696.525,81.022385,149.65892,55.720383,0.509583,41.787731,0.876851,22ec7faa30930377d8cfac426a8af9c3,True,True,3024,4032,RGB,,0.1994357638888889,0.5416666666666666,0.5260416666666666,0.2849392361111111,100.73818518738253,0.5246780478509506,2115.501888935033,100.0,60.584602432926744,0.2749565972222222,0.9998639825897715,0.9193427056317237,449.5868553320567,0,True,posible_mano_visible
img_17007a8abedc,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0148.jpg,IMG-20260603-WA0148.jpg,3024,4032,0.75,False,True,RGB,904.622,64.758904,140.755127,54.284046,0.654622,55.374147,0.879537,17007a8abedceaa9e71e1780bfee51f5,True,True,3024,4032,RGB,,0.2026095920138889,0.5364583333333334,0.4895833333333333,0.2626410590277778,100.53325190006382,0.5236106869794991,2111.19828990134,100.0,60.46135421563572,0.3635796440972222,0.9997322265363503,0.9600420346584568,389.21000893248447,0,True,posible_mano_visible
img_c4e96358c5e2,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0150.jpg,IMG-20260603-WA0150.jpg,3024,4032,0.75,False,True,RGB,845.356,78.428947,140.383789,54.992256,0.708923,43.165718,0.882202,c4e96358c5e2549ad74f27de66b0ad1a,True,True,3024,4032,RGB,,0.24259440104166666,0.5833333333333334,0.5833333333333334,0.3402777777777778,109.6185662305189,0.5709300324506192,2301.989890840897,100.0,65.92532158476136,0.3760850694444444,0.9995527227999552,0.9352708093362141,449.0090586344401,0,True,posible_mano_visible
img_8ab6ff1acf4e,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0152.jpg,IMG-20260603-WA0152.jpg,3024,4032,0.75,False,True,RGB,834.975,79.108009,141.237244,54.751041,0.695862,50.041846,0.775899,8ab6ff1acf4ee17e060421ddc280eabe,True,True,3024,4032,RGB,,0.20890299479166666,0.6354166666666666,0.5416666666666666,0.3441840277777778,111.65958472804826,0.5815603371252513,2344.8512792890133,100.0,67.15280343785467,0.3864474826388889,0.9990910271393325,0.9085727448431653,568.570092048174,0,True,posible_mano_visible
img_1df98c9c28d6,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0154.jpg,IMG-20260603-WA0154.jpg,3024,4032,0.75,False,True,RGB,801.359,63.087318,129.590408,44.778622,0.658691,43.307025,0.783569,1df98c9c28d60f95afaa3e59483c9f5b,True,True,3024,4032,RGB,,0.161376953125,0.46875,0.5833333333333334,0.2734375,100.76422685889473,0.5248136815567433,2116.048764036789,100.0,60.60026406423686,0.4084743923611111,0.9667170953101362,0.8254131862281698,432.97346955464207,0,True,posible_mano_visible
img_731823011de7,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0156.jpg,IMG-20260603-WA0156.jpg,3024,4032,0.75,False,True,RGB,660.952,45.558224,140.643784,60.413048,0.632548,47.056076,0.855042,731823011de767f55c85ed02bca45ba5,True,True,3024,4032,RGB,,0.2038845486111111,0.5208333333333334,0.5208333333333334,0.2712673611111111,99.02110692260555,0.5157349318885706,2079.4432453747163,100.0,59.551940351271895,0.3217502170138889,1.0,0.9636329020970377,381.9815535810259,0,True,posible_mano_visible
img_53331a40f01e,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0158.jpg,IMG-20260603-WA0158.jpg,3024,4032,0.75,False,True,RGB,1232.057,79.995132,147.278259,48.692646,0.869934,36.685544,0.725138,53331a40f01e98b976cf62e9d1d9417c,True,True,3024,4032,RGB,,0.1259223090277778,0.40625,0.3802083333333333,0.15445963541666666,77.49554217307163,0.40362261548474804,1627.406385634504,100.0,46.606325140228016,0.5966796875,1.0,0.8494476067265335,528.8054469043826,0,True,posible_mano_visible
img_7f261eaa0d6a,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0160.jpg,IMG-20260603-WA0160.jpg,3024,4032,0.75,False,True,RGB,1160.858,94.238991,146.067459,45.980259,0.861369,35.490322,0.671529,7f261eaa0d6aa2a60896da21e15a91d4,True,True,3024,4032,RGB,,0.12150065104166667,0.40625,0.3802083333333333,0.15445963541666666,76.88271743071661,0.40043081995164903,1614.537066045049,100.0,46.237768338181425,0.5839572482638888,1.0,0.8354213327836808,624.0578069502925,0,True,posible_mano_visible
img_cd053888fdfa,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0162.jpg,IMG-20260603-WA0162.jpg,3024,4032,0.75,False,True,RGB,1250.056,106.362061,149.288681,43.356079,0.80011,35.323486,0.671855,cd053888fdfae793cd9d0263ad98b51b,True,True,3024,4032,RGB,,0.10649956597222222,0.390625,0.359375,0.140380859375,73.06579068100658,0.3805509931302426,1534.3816043011382,100.0,43.942243664825,0.4928385416666667,1.0,0.8015533773665223,649.6836988543287,0,True,posible_mano_visible
img_7042c821aa8a,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0164.jpg,IMG-20260603-WA0164.jpg,4032,3024,1.333333,False,True,RGB,1028.156,102.52243,136.874512,45.07608,0.684692,45.862262,0.717896,7042c821aa8aea180067704f4a071c96,True,True,4032,3024,RGB,,0.1240234375,0.375,0.4270833333333333,0.16015625,79.43370600011244,0.4137172187505856,1668.1078260023612,100.0,47.77194952280678,0.4319390190972222,1.0,0.8377032931403323,690.8151428074012,0,True,posible_mano_visible
