image_id,source,quality_label,quality_label_es,fruit_type,product_type,size_label_manual,relative_path,file_name,width,height,aspect_ratio,is_square,requires_crop,mode,file_size_kb,blur_score,brightness_mean,brightness_std,skin_tone_ratio,border_std,foreground_ratio_border,image_hash,exists,valid_image,validated_width,validated_height,image_mode,validation_error,object_area_ratio,bbox_width_ratio,bbox_height_ratio,bbox_area_ratio,diameter_px_normalized_base,normalized_diameter,estimated_diameter_px_original,estimated_distance_cm,estimated_diameter_cm,skin_noise_ratio,fruit_color_ratio,segmentation_confidence,blur_score,touches_border,needs_review,review_reason
img_5922243c004f,own,bad,mala,guava,guava,,data/raw/propias/Bad_Quality_Fruits/Guava_Bad/guava_bad10_aug_2.jpg,guava_bad10_aug_2.jpg,960,1280,0.75,False,True,RGB,341.716,273.188141,80.338196,59.693024,0.447998,58.322492,0.911825,5922243c004fe91e95caa71cedc424a4,True,True,960,1280,RGB,,0.00439453125,0.09375,0.078125,0.00732421875,16.362864942503208,0.08522325490887088,109.08576628335473,100.0,9.840733832570539,0.3273383246527778,0.9135802469135802,0.5535409115281841,1790.7143554422591,0,True,posible_mano_visible;fruta_muy_pequena_o_lejana
img_49b02dddc345,own,bad,mala,guava,guava,,data/raw/propias/Bad_Quality_Fruits/Guava_Bad/guava_bad10_aug_4.jpg,guava_bad10_aug_4.jpg,960,1280,0.75,False,True,RGB,382.823,449.551849,117.31913,69.680969,0.625651,66.092162,0.948669,49b02dddc345e8993c7c68bcf23bf1d8,True,True,960,1280,RGB,,0.006401909722222222,0.057291666666666664,0.140625,0.008056640625,22.650520357187297,0.11797146019368383,151.0034690479153,100.0,13.622170859903315,0.4551052517361111,0.9364406779661016,0.5590628695542963,2555.690707453239,0,True,posible_mano_visible;fruta_muy_pequena_o_lejana
img_bfdf53e08b90,own,bad,mala,guava,guava,,data/raw/propias/Bad_Quality_Fruits/Guava_Bad/guava_bad10_aug_5.jpg,guava_bad10_aug_5.jpg,960,1280,0.75,False,True,RGB,373.796,312.910461,137.515182,57.813419,0.64152,63.349228,0.908508,bfdf53e08b90dcd42fcddb2b5038ae74,True,True,960,1280,RGB,,0.005669487847222222,0.08854166666666667,0.16145833333333334,0.014295789930555556,24.39075477264116,0.12703518110750603,162.6050318176077,100.0,14.668759201794291,0.4522026909722222,0.6985645933014354,0.3970283781209243,1846.1407593967003,0,True,posible_mano_visible;fruta_muy_pequena_o_lejana
img_390ce119fdfe,own,bad,mala,guava,guava,,data/raw/propias/Bad_Quality_Fruits/Guava_Bad/guava_bad11.jpg,guava_bad11.jpg,960,1280,0.75,False,True,RGB,205.614,352.654022,126.47876,61.116203,0.559428,62.397321,0.841105,390ce119fdfe7fe15fdd1ba7ad1be7ef,True,True,960,1280,RGB,,0.006266276041666667,0.0625,0.13541666666666666,0.008463541666666666,22.017445354769226,0.11467419455608972,146.78296903179483,100.0,13.241435419212381,0.405517578125,0.7748917748917749,0.48559425188711336,1721.6923724979529,0,True,posible_mano_visible;fruta_muy_pequena_o_lejana
img_7d370686e7b5,own,bad,mala,guava,guava,,data/raw/propias/Bad_Quality_Fruits/Guava_Bad/guava_bad11_aug_7.jpg,guava_bad11_aug_7.jpg,960,1280,0.75,False,True,RGB,378.018,411.430756,87.466026,73.999832,0.373556,76.542118,0.91803,7d370686e7b5a13e8bb49097938a22c5,True,True,960,1280,RGB,,0.004665798611111111,0.08333333333333333,0.09895833333333333,0.008246527777777778,17.10934931829873,0.08911119436613922,114.0623287886582,100.0,10.289674411019908,0.2724338107638889,0.8372093023255814,0.5092169578905077,2350.5009156266847,0,True,posible_mano_visible;fruta_muy_pequena_o_lejana
img_6c6cc443d2c0,own,bad,mala,guava,guava,,data/raw/propias/Bad_Quality_Fruits/Guava_Bad/guava_bad14.jpg,guava_bad14.jpg,960,1280,0.75,False,True,RGB,198.124,351.001709,142.499283,57.528965,0.625692,64.796648,0.874837,6c6cc443d2c04de369c11a13febf7a08,True,True,960,1280,RGB,,0.006429036458333333,0.13020833333333334,0.08333333333333333,0.010850694444444444,21.567029413447433,0.11232827819503871,143.78019608964956,100.0,12.970552330702555,0.4254828559027778,0.7890295358649789,0.490653946441535,1988.2775512970522,0,True,posible_mano_visible;fruta_muy_pequena_o_lejana
img_16ae82b86621,own,bad,mala,guava,guava,,data/raw/propias/Bad_Quality_Fruits/Guava_Bad/guava_bad14_aug_5.jpg,guava_bad14_aug_5.jpg,960,1280,0.75,False,True,RGB,370.325,336.619476,133.568069,69.431412,0.636475,82.37729,0.931661,16ae82b86621b4ebba5de2a148864cd8,True,True,960,1280,RGB,,0.004204644097222222,0.09375,0.08333333333333333,0.0078125,16.22169330246058,0.08448798595031552,108.14462201640387,100.0,9.755832286340796,0.4392632378472222,1.0,0.5824758671319238,2050.0541886223687,0,True,posible_mano_visible;fruta_muy_pequena_o_lejana
img_a18dc1aa8816,own,bad,mala,guava,guava,,data/raw/propias/Bad_Quality_Fruits/Guava_Bad/guava_bad14_aug_6.jpg,guava_bad14_aug_6.jpg,960,1280,0.75,False,True,RGB,384.459,401.734436,114.947182,76.260231,0.515035,82.093412,0.920471,a18dc1aa88162de3af35a858283469ef,True,True,960,1280,RGB,,0.004530164930555556,0.08854166666666667,0.07291666666666667,0.006456163194444444,15.911842599764292,0.08287418020710569,106.07895066509528,100.0,9.569486050288404,0.350830078125,0.9760479041916168,0.5981139108994563,2079.8064418538115,0,True,posible_mano_visible;fruta_muy_pequena_o_lejana
img_b5c2c499ff2b,own,bad,mala,guava,guava,,data/raw/propias/Bad_Quality_Fruits/Guava_Bad/guava_bad14_aug_7.jpg,guava_bad14_aug_7.jpg,960,1280,0.75,False,True,RGB,410.552,346.974854,127.307564,63.684158,0.568339,85.703553,0.885152,b5c2c499ff2b54faaccc562cc40d37d5,True,True,960,1280,RGB,,0.005723741319444444,0.09895833333333333,0.09895833333333333,0.009792751736111112,17.825794374009604,0.09284267903130002,118.83862916006402,100.0,10.720549146201417,0.3963758680555556,0.9620853080568721,0.5663485825044665,2166.2797288298607,0,True,posible_mano_visible;fruta_muy_pequena_o_lejana
img_fff136fdd864,own,bad,mala,guava,guava,,data/raw/propias/Bad_Quality_Fruits/Guava_Bad/guava_bad15_aug_2.jpg,guava_bad15_aug_2.jpg,960,1280,0.75,False,True,RGB,423.824,438.001343,88.107735,65.350212,0.271729,72.294546,0.865275,fff136fdd864a0edcab5345878583e54,True,True,960,1280,RGB,,0.004475911458333333,0.046875,0.09895833333333333,0.004638671875,16.972431777218038,0.08839808217301061,113.14954518145358,100.0,10.207331307686866,0.1896430121527778,1.0,0.6183459379670737,2457.784604484653,0,True,fruta_muy_pequena_o_lejana
