path,folder,filename,quality,size,width,height,mode,megapixels
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0146.jpg,Apple_Bad,IMG-20260603-WA0146.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0148.jpg,Apple_Bad,IMG-20260603-WA0148.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0150.jpg,Apple_Bad,IMG-20260603-WA0150.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0152.jpg,Apple_Bad,IMG-20260603-WA0152.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0154.jpg,Apple_Bad,IMG-20260603-WA0154.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0156.jpg,Apple_Bad,IMG-20260603-WA0156.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0158.jpg,Apple_Bad,IMG-20260603-WA0158.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0160.jpg,Apple_Bad,IMG-20260603-WA0160.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0162.jpg,Apple_Bad,IMG-20260603-WA0162.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0164.jpg,Apple_Bad,IMG-20260603-WA0164.jpg,bad,,4032,3024,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0166.jpg,Apple_Bad,IMG-20260603-WA0166.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0168.jpg,Apple_Bad,IMG-20260603-WA0168.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0170.jpg,Apple_Bad,IMG-20260603-WA0170.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0172.jpg,Apple_Bad,IMG-20260603-WA0172.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0174.jpg,Apple_Bad,IMG-20260603-WA0174.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0176.jpg,Apple_Bad,IMG-20260603-WA0176.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0178.jpg,Apple_Bad,IMG-20260603-WA0178.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0180.jpg,Apple_Bad,IMG-20260603-WA0180.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0182.jpg,Apple_Bad,IMG-20260603-WA0182.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0184.jpg,Apple_Bad,IMG-20260603-WA0184.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0186.jpg,Apple_Bad,IMG-20260603-WA0186.jpg,bad,,3024,4032,RGB,12.193
data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0188.jpg,Apple_Bad,IMG-20260603-WA0188.jpg,bad,,3024,4032,RGB,12.193
