image_id,source,quality_label,fruit_type,relative_path,file_name,width,height,aspect_ratio,is_square,requires_crop,mode,file_size_kb,image_hash,resolved_image_path,is_valid_image,validated_width,validated_height,validated_mode,validation_error,area_ratio,diameter_norm,bbox_width_norm,bbox_height_norm,original_width,original_height,size_estimation_status,size_label,split,processed_path
img_086a3da0b9de,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0150.jpg,IMG-20260603-WA0150.jpg,3024,4032,0.75,False,True,RGB,845.356,086a3da0b9dedadab823b12f83005eb1,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0150.jpg,True,3024,4032,RGB,,0.29998779296875,0.6180261490791773,0.75,0.859375,3024,4032,estimated,small,train,data/processed/train/bad/img_086a3da0b9de.jpg
img_254e792d4b01,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0152.jpg,IMG-20260603-WA0152.jpg,3024,4032,0.75,False,True,RGB,834.975,254e792d4b01d89e5b03f3069c18a9a2,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0152.jpg,True,3024,4032,RGB,,0.29998779296875,0.6180261490791773,0.75,1.0,3024,4032,estimated,small,train,data/processed/train/bad/img_254e792d4b01.jpg
img_6076a7832114,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0154.jpg,IMG-20260603-WA0154.jpg,3024,4032,0.75,False,True,RGB,801.359,6076a78321144f6200a61751efd4762c,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0154.jpg,True,3024,4032,RGB,,0.29998779296875,0.6180261490791773,0.640625,0.90625,3024,4032,estimated,small,train,data/processed/train/bad/img_6076a7832114.jpg
img_66119cc6d85a,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0162.jpg,IMG-20260603-WA0162.jpg,3024,4032,0.75,False,True,RGB,1250.056,66119cc6d85a38e0741672dd744fc840,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0162.jpg,True,3024,4032,RGB,,0.2999267578125,0.6179632744517112,0.75,1.0,3024,4032,estimated,small,train,data/processed/train/bad/img_66119cc6d85a.jpg
img_e9f7ab8251ab,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0168.jpg,IMG-20260603-WA0168.jpg,3024,4032,0.75,False,True,RGB,937.255,e9f7ab8251abe9a048b8cd65a26c017f,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0168.jpg,True,3024,4032,RGB,,0.2996826171875,0.6177117119440545,0.75,1.0,3024,4032,estimated,small,train,data/processed/train/bad/img_e9f7ab8251ab.jpg
img_59fc6bb63558,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0170.jpg,IMG-20260603-WA0170.jpg,3024,4032,0.75,False,True,RGB,977.6,59fc6bb63558b533bfc27cd312446285,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0170.jpg,True,3024,4032,RGB,,0.2996826171875,0.6177117119440545,0.6875,1.0,3024,4032,estimated,small,train,data/processed/train/bad/img_59fc6bb63558.jpg
img_d5785c48a525,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0172.jpg,IMG-20260603-WA0172.jpg,3024,4032,0.75,False,True,RGB,1171.236,d5785c48a525f88ef803e933e89af2dc,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0172.jpg,True,3024,4032,RGB,,0.29986572265625,0.6179003934264198,0.75,0.9765625,3024,4032,estimated,small,train,data/processed/train/bad/img_d5785c48a525.jpg
img_1fdbca02a3fe,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0176.jpg,IMG-20260603-WA0176.jpg,3024,4032,0.75,False,True,RGB,1043.835,1fdbca02a3feb6d2a8bc90cb73aff8ba,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0176.jpg,True,3024,4032,RGB,,0.29998779296875,0.6180261490791773,0.75,0.84375,3024,4032,estimated,small,train,data/processed/train/bad/img_1fdbca02a3fe.jpg
img_bd10036926a7,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0178.jpg,IMG-20260603-WA0178.jpg,3024,4032,0.75,False,True,RGB,996.992,bd10036926a7ccbf37931be5729c431c,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0178.jpg,True,3024,4032,RGB,,0.29998779296875,0.6180261490791773,0.6953125,0.8203125,3024,4032,estimated,small,train,data/processed/train/bad/img_bd10036926a7.jpg
img_61437d2a3460,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0180.jpg,IMG-20260603-WA0180.jpg,3024,4032,0.75,False,True,RGB,1009.458,61437d2a346089b9a87a6c288630daf3,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0180.jpg,True,3024,4032,RGB,,0.2999267578125,0.6179632744517112,0.75,0.75,3024,4032,estimated,small,train,data/processed/train/bad/img_61437d2a3460.jpg
img_f8e620d4432d,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0182.jpg,IMG-20260603-WA0182.jpg,3024,4032,0.75,False,True,RGB,992.51,f8e620d4432d1390c4e0b38ee66ccb77,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0182.jpg,True,3024,4032,RGB,,0.2996826171875,0.6177117119440545,0.75,1.0,3024,4032,estimated,small,train,data/processed/train/bad/img_f8e620d4432d.jpg
img_184f63a983c8,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0190.jpg,IMG-20260603-WA0190.jpg,3024,4032,0.75,False,True,RGB,1083.511,184f63a983c85452d734afe8f121540f,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0190.jpg,True,3024,4032,RGB,,0.29998779296875,0.6180261490791773,0.609375,0.7578125,3024,4032,estimated,small,train,data/processed/train/bad/img_184f63a983c8.jpg
img_d91dd85fd4b0,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0192.jpg,IMG-20260603-WA0192.jpg,3024,4032,0.75,False,True,RGB,1027.87,d91dd85fd4b0a7c91316993ccfbe6302,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0192.jpg,True,3024,4032,RGB,,0.29986572265625,0.6179003934264198,0.7421875,1.0,3024,4032,estimated,small,train,data/processed/train/bad/img_d91dd85fd4b0.jpg
img_3369d401f1ee,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0194.jpg,IMG-20260603-WA0194.jpg,3024,4032,0.75,False,True,RGB,958.351,3369d401f1ee1be426283eeb2299ced1,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0194.jpg,True,3024,4032,RGB,,0.29998779296875,0.6180261490791773,0.75,1.0,3024,4032,estimated,small,train,data/processed/train/bad/img_3369d401f1ee.jpg
img_96e08dae5497,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0196.jpg,IMG-20260603-WA0196.jpg,3024,4032,0.75,False,True,RGB,1120.278,96e08dae5497f66563e83951045fe291,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0196.jpg,True,3024,4032,RGB,,0.2999267578125,0.6179632744517112,0.75,1.0,3024,4032,estimated,small,train,data/processed/train/bad/img_96e08dae5497.jpg
img_2adfea321d35,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0200.jpg,IMG-20260603-WA0200.jpg,3024,4032,0.75,False,True,RGB,1046.364,2adfea321d35b6c8dd7fe3fc5be06ca1,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0200.jpg,True,3024,4032,RGB,,0.2999267578125,0.6179632744517112,0.5625,1.0,3024,4032,estimated,small,train,data/processed/train/bad/img_2adfea321d35.jpg
img_8dc4f6af6107,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0204.jpg,IMG-20260603-WA0204.jpg,3024,4032,0.75,False,True,RGB,1231.231,8dc4f6af61074550a08bca021470c402,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0204.jpg,True,3024,4032,RGB,,0.29998779296875,0.6180261490791773,0.75,0.984375,3024,4032,estimated,small,train,data/processed/train/bad/img_8dc4f6af6107.jpg
img_632bf5c3be3d,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0206.jpg,IMG-20260603-WA0206.jpg,3024,4032,0.75,False,True,RGB,1218.683,632bf5c3be3df9bd926ff0ce03fee2dc,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0206.jpg,True,3024,4032,RGB,,0.29998779296875,0.6180261490791773,0.75,1.0,3024,4032,estimated,small,train,data/processed/train/bad/img_632bf5c3be3d.jpg
img_ff6bcf4804e2,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0208.jpg,IMG-20260603-WA0208.jpg,3024,4032,0.75,False,True,RGB,1210.726,ff6bcf4804e278a1bffd72dc7ab6a144,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0208.jpg,True,3024,4032,RGB,,0.29998779296875,0.6180261490791773,0.6953125,0.984375,3024,4032,estimated,small,train,data/processed/train/bad/img_ff6bcf4804e2.jpg
img_aaa5bd53061c,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0210.jpg,IMG-20260603-WA0210.jpg,3024,4032,0.75,False,True,RGB,1182.971,aaa5bd53061c2f449116cb048ca3a8ea,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\IMG-20260603-WA0210.jpg,True,3024,4032,RGB,,0.2998046875,0.6178375060013497,0.75,0.78125,3024,4032,estimated,small,train,data/processed/train/bad/img_aaa5bd53061c.jpg
img_44cc7da67bc2,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.15.20 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.15.20 PM.png,368,396,0.929293,False,True,RGB,176.661,44cc7da67bc21c6f0fe6f0bea35a93e8,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\rotated_by_15_Screen Shot 2018-06-07 at 2.15.20 PM.png,True,368,396,RGB,,0.29998779296875,0.6180261490791773,0.9296875,1.0,368,396,estimated,small,train,data/processed/train/bad/img_44cc7da67bc2.jpg
img_c00004c8c409,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.15.34 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.15.34 PM.png,330,352,0.9375,False,True,RGB,114.765,c00004c8c409a565b559a36bf68c3c1c,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\rotated_by_15_Screen Shot 2018-06-07 at 2.15.34 PM.png,True,330,352,RGB,,0.29998779296875,0.6180261490791773,0.9375,1.0,330,352,estimated,small,train,data/processed/train/bad/img_c00004c8c409.jpg
img_54450a792279,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.15.50 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.15.50 PM.png,504,484,1.041322,False,True,RGB,237.407,54450a7922798b3681f46c1d2a1197fe,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\rotated_by_15_Screen Shot 2018-06-07 at 2.15.50 PM.png,True,504,484,RGB,,0.29998779296875,0.6180261490791773,1.0,0.9609375,504,484,estimated,small,train,data/processed/train/bad/img_54450a792279.jpg
img_0bc7e09c037b,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.16.54 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.16.54 PM.png,380,324,1.17284,False,True,RGB,103.143,0bc7e09c037bb0c409963d533e3a3fc6,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\rotated_by_15_Screen Shot 2018-06-07 at 2.16.54 PM.png,True,380,324,RGB,,0.29998779296875,0.6180261490791773,1.0,0.8515625,380,324,estimated,small,train,data/processed/train/bad/img_0bc7e09c037b.jpg
img_103eaae82cd0,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.17.25 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.17.25 PM.png,538,466,1.154506,False,True,RGB,216.876,103eaae82cd015a7dd264ce463e2783f,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\rotated_by_15_Screen Shot 2018-06-07 at 2.17.25 PM.png,True,538,466,RGB,,0.29998779296875,0.6180261490791773,1.0,0.8671875,538,466,estimated,small,train,data/processed/train/bad/img_103eaae82cd0.jpg
img_7c96f35c6f0f,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.18.57 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.18.57 PM.png,520,492,1.056911,False,True,RGB,304.968,7c96f35c6f0fd65cc1b465864f2b4bba,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\rotated_by_15_Screen Shot 2018-06-07 at 2.18.57 PM.png,True,520,492,RGB,,0.29998779296875,0.6180261490791773,1.0,0.9453125,520,492,estimated,small,train,data/processed/train/bad/img_7c96f35c6f0f.jpg
img_a27df13fbb51,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.19.15 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.19.15 PM.png,484,478,1.012552,False,True,RGB,221.897,a27df13fbb514e40cffd623d95a0782c,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\rotated_by_15_Screen Shot 2018-06-07 at 2.19.15 PM.png,True,484,478,RGB,,0.2999267578125,0.6179632744517112,1.0,0.984375,484,478,estimated,small,train,data/processed/train/bad/img_a27df13fbb51.jpg
img_4309099f09a1,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.19.46 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.19.46 PM.png,436,434,1.004608,False,True,RGB,186.342,4309099f09a1a45b885d316b229b29e7,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\rotated_by_15_Screen Shot 2018-06-07 at 2.19.46 PM.png,True,436,434,RGB,,0.29998779296875,0.6180261490791773,1.0,0.9921875,436,434,estimated,small,train,data/processed/train/bad/img_4309099f09a1.jpg
img_a97c1ceda61a,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.20.04 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.20.04 PM.png,492,394,1.248731,False,True,RGB,150.822,a97c1ceda61a54dbf4a49b5bdea29f2d,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\rotated_by_15_Screen Shot 2018-06-07 at 2.20.04 PM.png,True,492,394,RGB,,0.29998779296875,0.6180261490791773,1.0,0.8046875,492,394,estimated,small,train,data/processed/train/bad/img_a97c1ceda61a.jpg
img_b7db100f82a9,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.20.46 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.20.46 PM.png,420,338,1.242604,False,True,RGB,141.587,b7db100f82a948ebff6fb61ebd23fa7e,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\rotated_by_15_Screen Shot 2018-06-07 at 2.20.46 PM.png,True,420,338,RGB,,0.29986572265625,0.6179003934264198,1.0,0.8046875,420,338,estimated,small,train,data/processed/train/bad/img_b7db100f82a9.jpg
img_ce83beb4dcd8,own,bad,apple,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.22.00 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.22.00 PM.png,418,408,1.02451,False,True,RGB,185.402,ce83beb4dcd893384e7635acee51335f,C:\Users\renzi\PycharmProjects\proyecto-final-apo-3\data\raw\propias\Bad_Quality_Fruits\Apple_Bad\rotated_by_15_Screen Shot 2018-06-07 at 2.22.00 PM.png,True,418,408,RGB,,0.29998779296875,0.6180261490791773,1.0,0.9765625,418,408,estimated,small,train,data/processed/train/bad/img_ce83beb4dcd8.jpg
